PathToFasta	NumReps	QuantNoise	Enzyme	PropMissedCleavages	PercDetectedPep	PercDetectedVal	MSNoise	WrongIDs	FileName
QC_DataAnalysis/fasta_full_yeast.fasta	4	0.25	trypsin	0.01	0.25	0.25	0.125	0.01	../Output/UPS1-like_output/outputMSRun_0058e610684ec695c6270e0b2d50b136.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.25	trypsin	0.2	0.25	0.25	0.125	0.01	../Output/UPS1-like_output/outputMSRun_048050db048368106bbf186941c73399.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.25	trypsin	0.01	0.5	0.5	0.25	0.01	../Output/UPS1-like_output/outputMSRun_124610ef29ced25cab47f99c714546e8.RData
QC_DataAnalysis/fasta_full_yeast.fasta	5	0.25	trypsin	0.01	0.5	0.5	0.125	0.01	../Output/UPS1-like_output/outputMSRun_172345527ddd3d9ec0c3bb1187333f90.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.125	trypsin	0.01	0.5	0.5	0.125	0.01	../Output/UPS1-like_output/outputMSRun_1c206d577b1d7d4eb8fb353eadcaea2f.RData
QC_DataAnalysis/fasta_full_yeast.fasta	4	0.25	trypsin	0.01	0.5	0.5	0.125	0.01	../Output/UPS1-like_output/outputMSRun_29b6275ec6471b7b764b98855f97dcaa.RData
QC_DataAnalysis/fasta_full_yeast.fasta	2	0.25	trypsin	0.01	0.25	0.25	0.125	0.01	../Output/UPS1-like_output/outputMSRun_3908e0568fd69748a0e1a08f8e40d989.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.25	trypsin	0.01	0.5	0.5	0.01	0.01	../Output/UPS1-like_output/outputMSRun_3d9a08477c227536e6a84af8f8ffdec2.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.125	trypsin	0.01	0.25	0.25	0.125	0.01	../Output/UPS1-like_output/outputMSRun_3db1e11221d450ad50433197d9fced24.RData
QC_DataAnalysis/fasta_full_yeast.fasta	2	0.25	trypsin	0.01	0.5	0.5	0.125	0.01	../Output/UPS1-like_output/outputMSRun_48c16990a929d099d2b930bd7e979326.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.25	trypsin	0.01	0.1	0.5	0.125	0.01	../Output/UPS1-like_output/outputMSRun_53b43ae5f1ff554a7d193182c6bbaf23.RData
QC_DataAnalysis/fasta_full_yeast.fasta	6	0.25	trypsin	0.01	0.5	0.5	0.125	0.01	../Output/UPS1-like_output/outputMSRun_541d89173c4ed1c83d4348676a7b22fc.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.25	trypsin	0.2	0.5	0.5	0.125	0.01	../Output/UPS1-like_output/outputMSRun_56916d7007aee6da0ab81aad62b9110a.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.25	trypsin	0.1	0.5	0.5	0.125	0.01	../Output/UPS1-like_output/outputMSRun_5d5304c7b6fd36f8a2766c94083076e0.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.25	trypsin	0.01	0.25	0.25	0.125	0.05	../Output/UPS1-like_output/outputMSRun_6e7b23c13f791c3ef8aee4bd5d3ce020.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.25	trypsin.strict	0.01	0.25	0.25	0.125	0.01	../Output/UPS1-like_output/outputMSRun_752b6de3c61917dd5e4d3c2fa926d270.RData
QC_DataAnalysis/fasta_full_yeast.fasta	6	0.25	trypsin	0.01	0.25	0.25	0.125	0.01	../Output/UPS1-like_output/outputMSRun_7785e70d0912fa2f6af155f400d52eb8.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.25	trypsin	0.01	0.25	0.1	0.125	0.01	../Output/UPS1-like_output/outputMSRun_8fa4665dc34c40a983e5cdb8bf331a80.RData
QC_DataAnalysis/fasta_full_yeast.fasta	5	0.25	trypsin	0.01	0.25	0.25	0.125	0.01	../Output/UPS1-like_output/outputMSRun_918dc6433bfb8e1d10f31682a65e2a3a.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.25	trypsin	0.01	0.25	0.5	0.125	0.01	../Output/UPS1-like_output/outputMSRun_9bc1e8fd4e951da644b951eeb87fd93d.RData
